0	0.5 	0.5
1	0.5 	1.5
2	0.5 	2.5
3	0.5 	3.5
4	0.5 	4.5
5	0.5 	5.5
6	0.5 	6.5
7	0.5 	7.5
8	0.5 	8.5
9	0.5 	9.5
10	0.5 	10.5
11	0.5 	11.5
12	0.5 	12.5
13	0.5 	13.5
14	0.5 	14.5
15	0.5 	15.5
16	0.5 	16.5
17	0.5 	17.5
18	1.5 	16.9
19	2.5 	16.9
20	3.5 	16.9
21	4.5 	16.9
22	5.5 	16.9
23	6.5 	16.9
24	7.5 	16.9
25	8.5 	16.9
26	8.5 	15.9
27	8.5 	14.9
28	8.5 	13.9
29	8.5 	12.9
30	8.5 	11.9
31	8.5 	10.9
32	8.5 	9.9
33	8.5 	8.9
34	8.5 	7.9
35	8.5 	6.9
36	9.5 	6.5
37	10.5 	6.5
38	11.5 	6.5
39	12.5 	6.5
40	13.5 	6.5
41	14.5 	6.5
42	14.3 	5.5
43	14.3 	4.5
44	14.3 	3.5
45	14.3 	2.5
46	14.3 	1.5
47	14.3 	0.5
48	13.3 	0.5
49	12.3 	0.5
50	11.3 	0.5
51	10.3 	0.5
52	9.3 	0.5
53	8.3 	0.5
54	7.3 	0.5
55	6.3 	0.5
56	5.3 	0.5
57	4.3 	0.5
58	3.3 	0.5
59	2.3 	0.5
60	1.3 	0.5
